Geometric Albedo

Wavelength	Metal-rich	Ultramafic	Feldspathic	Basaltic	Granitoid	Clay	Ice-rich-silicate	Fe-oxidized	
micron			

4.353047e-01	6.348000e-02	3.599893e-01	4.690540e-01	2.016050e-01	4.828367e-01	3.998688e-01	3.032972e-01	1.613264e-01	
4.391802e-01	6.370429e-02	3.616190e-01	4.700622e-01	2.020494e-01	4.836459e-01	4.015442e-01	3.036850e-01	1.616964e-01	
4.430901e-01	6.426698e-02	3.621551e-01	4.713452e-01	2.022325e-01	4.843650e-01	4.051677e-01	3.038458e-01	1.611293e-01	
4.470349e-01	6.552101e-02	3.622484e-01	4.721091e-01	2.023998e-01	4.846631e-01	4.070094e-01	3.039921e-01	1.604441e-01	
4.510147e-01	6.545011e-02	3.624531e-01	4.728120e-01	2.027224e-01	4.845559e-01	4.111083e-01	3.042743e-01	1.601501e-01	
4.550300e-01	6.619145e-02	3.632357e-01	4.745202e-01	2.032314e-01	4.853531e-01	4.115108e-01	3.047187e-01	1.599159e-01	
4.590811e-01	6.716016e-02	3.656754e-01	4.750368e-01	2.039628e-01	4.863983e-01	4.137636e-01	3.053580e-01	1.594213e-01	
4.631682e-01	6.825589e-02	3.693439e-01	4.755055e-01	2.048768e-01	4.867411e-01	4.148484e-01	3.061562e-01	1.593125e-01	
4.672917e-01	6.875423e-02	3.724277e-01	4.761932e-01	2.056169e-01	4.878734e-01	4.265857e-01	3.068028e-01	1.593189e-01	
4.714519e-01	7.006236e-02	3.756134e-01	4.770296e-01	2.061582e-01	4.883347e-01	4.386141e-01	3.072766e-01	1.592451e-01	
4.756492e-01	7.143861e-02	3.803268e-01	4.777615e-01	2.067259e-01	4.895204e-01	4.500349e-01	3.077727e-01	1.592089e-01	
4.798838e-01	7.266929e-02	3.858389e-01	4.778602e-01	2.074443e-01	4.904027e-01	4.585078e-01	3.084017e-01	1.593568e-01	
4.841561e-01	7.285308e-02	3.893872e-01	4.786949e-01	2.081686e-01	4.910674e-01	4.624253e-01	3.090350e-01	1.592631e-01	
4.884665e-01	7.440747e-02	3.934288e-01	4.788510e-01	2.088674e-01	4.920074e-01	4.669117e-01	3.096467e-01	1.591102e-01	
4.928152e-01	7.566407e-02	3.981909e-01	4.792486e-01	2.096476e-01	4.928681e-01	4.713530e-01	3.103303e-01	1.600591e-01	
4.972026e-01	7.616624e-02	4.050712e-01	4.797967e-01	2.104509e-01	4.942063e-01	4.776203e-01	3.110347e-01	1.603383e-01	
5.016291e-01	7.663347e-02	4.126237e-01	4.801132e-01	2.111000e-01	4.947422e-01	4.818359e-01	3.116031e-01	1.594305e-01	
